District code,District Short Name,District Name,Quarter,Component,Value,All District Value,District Short
D62,OK/N,Northern District of Oklahoma,Q2 FY20,Ratifications,0,0,OK-N
D64,OK/W,Western District of Oklahoma,Q2 FY20,Ratifications,0,0,OK-W
D65,OR/D,District of Oregon,Q2 FY20,Ratifications,0,0,OR-D
D66,PA/E,Eastern District of Pennsylvania,Q2 FY20,Ratifications,0,0,PA-E
D67,PA/M,Middle District of Pennsylvania,Q2 FY20,Ratifications,0,0,PA-M
D68,PA/W,Western District of Pennsylvania,Q2 FY20,Ratifications,0,0,PA-W
D69,PR/D,District of Puerto Rico,Q2 FY20,Ratifications,0,0,PR-D
D70,RI/D,District of Rhode Island,Q2 FY20,Ratifications,0,0,RI-D
D71,SC/D,District of South Carolina,Q2 FY20,Ratifications,0,0,SC-D
D73,SD/D,District of South Dakota,Q2 FY20,Ratifications,0,0,SD-D
D74,TN/E,Eastern District of Tennessee,Q2 FY20,Ratifications,0,0,TN-E
D75,TN/M,Middle District of Tennessee,Q2 FY20,Ratifications,0,0,TN-M
D76,TN/W,Western District of Tennessee,Q2 FY20,Ratifications,0,0,TN-W
D78,TX/E,Eastern District of Texas,Q2 FY20,Ratifications,0,0,TX-E
D77,TX/N,Northern District of Texas,Q2 FY20,Ratifications,0,0,TX-N
D79,TX/S,Southern District of Texas,Q2 FY20,Ratifications,0,0,TX-S
D80,TX/W,Western District of Texas,Q2 FY20,Ratifications,0,0,TX-W
D81,UT/D,District of Utah,Q2 FY20,Ratifications,0,0,UT-D
D83,VA/E,Eastern District of Virginia,Q2 FY20,Ratifications,0,0,VA-E
D84,VA/W,Western District of Virginia,Q2 FY20,Ratifications,0,0,VA-W
D94,VI/D,District of the Virgin Islands,Q2 FY20,Ratifications,0,0,VI-D
D82,VT/D,District of Vermont,Q2 FY20,Ratifications,0,0,VT-D
D85,WA/E,Eastern District of Washington,Q2 FY20,Ratifications,0,0,WA-E
D86,WA/W,Western District of Washington,Q2 FY20,Ratifications,0,0,WA-W
D89,WI/E,Eastern District of Wisconsin,Q2 FY20,Ratifications,0,0,WI-E
D90,WI/W,Western District of Wisconsin,Q2 FY20,Ratifications,0,0,WI-W
D87,WV/N,Northern District of West Virginia,Q2 FY20,Ratifications,0,0,WV-N
D88,WV/S,Southern District of West Virginia,Q2 FY20,Ratifications,0,0,WV-S
D91,WY/D,District of Wyoming,Q2 FY20,Ratifications,0,0,WY-D
All Districts,AllDistricts,All Districts,Q1 FY20,Ratifications,1,1, All Districts
D55,NY/W,Western District of New York,Q1 FY20,Ratifications,1,1,NY-W
All Districts,AllDistricts,All Districts,Q4 FY19,Ratifications,2,2, All Districts
D08,AZ/D,District of Arizona,Q4 FY19,Ratifications,1,2,AZ-D
D87,WV/N,Northern District of West Virginia,Q4 FY19,Ratifications,1,2,WV-N
All Districts,AllDistricts,All Districts,Q3 FY19,Ratifications,2,2, All Districts
D25,IL/S,Southern District of Illinois,Q3 FY19,Ratifications,1,2,IL-S
D80,TX/W,Western District of Texas,Q3 FY19,Ratifications,1,2,TX-W
All Districts,AllDistricts,All Districts,Q2 FY19,Ratifications,1,1, All Districts
D79,TX/S,Southern District of Texas,Q2 FY19,Ratifications,1,1,TX-S
All Districts,AllDistricts,All Districts,Q1 FY19,Ratifications,1,1, All Districts
D56,NC/E,Eastern District of North Carolina,Q1 FY19,Ratifications,1,1,NC-E
All Districts,AllDistricts,All Districts,Q4 FY18,Ratifications,3,3, All Districts
D98,CA/S,Southern District of California,Q4 FY18,Ratifications,1,3,CA-S
D41,MN/D,District of Minnesota,Q4 FY18,Ratifications,1,3,MN-D
D65,OR/D,District of Oregon,Q4 FY18,Ratifications,1,3,OR-D
All Districts,AllDistricts,All Districts,Q3 FY18,Ratifications,3,3, All Districts
D98,CA/S,Southern District of California,Q3 FY18,Ratifications,1,3,CA-S
D41,MN/D,District of Minnesota,Q3 FY18,Ratifications,1,3,MN-D
D65,OR/D,District of Oregon,Q3 FY18,Ratifications,1,3,OR-D
